,index,Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,depth,height,width
28,70,70,79902935,BRIMNES,Beds,575.0,,True,https://www.ikea.com/sa/en/p/brimnes-bed-frame-with-storage-white-s79902935/,Yes,"        Bed frame with storage,          140x200 cm",54.0,20.0,146.0
29,71,71,90349326,HEMNES,Beds,1495.0,,True,https://www.ikea.com/sa/en/p/hemnes-day-bed-frame-with-3-drawers-white-90349326/,No,"        Day-bed frame with 3 drawers,          80x200 cm",70.0,18.0,89.0
30,74,74,79012991,MALM,Beds,670.0,,True,https://www.ikea.com/sa/en/p/malm-bed-frame-high-w-2-storage-boxes-white-s79012991/,Yes,"        Bed frame, high, w 2 storage boxes,          90x200 cm",59.0,15.0,105.0
31,80,80,89305446,PLATSA,Beds,2600.5,"2,880",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-10-doors-white-s89305446/,No,"        Bed frame with 10 doors,          143x244x223 cm",40.0,43.0,143.0
32,86,86,90354327,HAMMARN,Beds,399.0,,True,https://www.ikea.com/sa/en/p/hammarn-sofa-bed-knisa-dark-grey-black-90354327/,No,"        Sofa-bed,          120 cm",85.0,78.0,128.0
33,89,89,9241420,NORDLI,Beds,2290.0,,True,https://www.ikea.com/sa/en/p/nordli-bed-frame-w-storage-and-headboard-white-s09241420/,Yes,"        Bed frame w storage and headboard,          140x200 cm",51.0,16.0,240.0
34,91,91,69241097,SONGESAND,Beds,570.0,,True,https://www.ikea.com/sa/en/p/songesand-bed-frame-with-2-storage-boxes-brown-s69241097/,Yes,"        Bed frame with 2 storage boxes,          140x200 cm",64.0,14.0,153.0
35,96,96,60116960,LYCKSELE,Beds,100.0,,True,https://www.ikea.com/sa/en/p/lycksele-storage-box-2-seat-sofa-bed-black-60116960/,No,        Storage box 2-seat sofa-bed,55.0,21.0,92.0
36,111,111,60372276,HEMNES,Beds,1495.0,,True,https://www.ikea.com/sa/en/p/hemnes-day-bed-frame-with-3-drawers-grey-60372276/,No,"        Day-bed frame with 3 drawers,          80x200 cm",70.0,18.0,89.0
37,113,113,99239451,SLÄKT,Beds,620.0,,True,https://www.ikea.com/sa/en/p/slaekt-underbed-with-storage-white-s99239451/,No,"        Underbed with storage,          90x200 cm",57.0,45.0,95.0
