product_id,product_category,Height,width,material,color,product_image,product_brand,product_price,product_offer,product_rate,seller_id,product_name,product_description,depth
29278101,Beds,104,196,,,,,3595,,,,GRÖNLID,        2-seat sofa-bed,98
49278591,Beds,104,252,,,,,7610,,,,GRÖNLID,"        Corner sofa-bed, 5-seat",164
19129932,Beds,21,86,,,,,1795,,,,BRIMNES,"        Day-bed w 2 drawers/2 mattresses,          80x200 cm",53
80362974,Beds,35,62,,,,,295,,,,SLÄKT,"        Storage box with castors,          62x62x35 cm",53
9217849,Beds,69,212,,,,,1991,,,,BRÅTHULT,        Corner sofa-bed,78
19302917,Beds,43,140,,,,,2210,,,,PLATSA,"        Bed frame with storage,          140x244x223 cm",40
9306435,Beds,90,200,,,,,1445,,,,NYHAMN,        3-seat sofa-bed,97
29277639,Beds,102,387,,,,,9585,,,,LIDHULT,"        Corner sofa-bed, 6-seat",164
9278003,Beds,84,266,,,,,5780,,,,VALLENTUNA,        Modular corner sofa 3-seat+sofa-bed,93
19290014,Beds,95,160,,,,,3340,,,,LIDHULT,        2-seat sofa-bed section,97
89300750,Beds,79,200,,,,,2236,,,,FLOTTEBO,"        Sofa-bed with side table,          120 cm",120
49292686,Beds,83,271,,,,,4645,,,,VIMLE,        3-seat sofa-bed,98
49306443,Beds,90,200,,,,,1295,,,,NYHAMN,        3-seat sofa-bed,97
79150746,Beds,96,230,,,,,2995,,,,HOLMSUND,        Corner sofa-bed,151
29277724,Beds,84,186,,,,,4320,,,,VALLENTUNA,        2-seat modular sofa w 2 sofa-beds,113
59297481,Beds,79,200,,,,,1596,,,,FLOTTEBO,"        Sofa-bed,          90 cm",90
9306355,Beds,90,200,,,,,1520,,,,NYHAMN,        Sofa-bed with triple cushion,97
20249896,Beds,2,200,,,,,300,,,,SVÄRTA,        Desk top,88
29266184,Beds,102,294,,,,,7785,,,,LIDHULT,"        Corner sofa-bed, 5-seat",98
29278158,Beds,104,231,,,,,4270,,,,GRÖNLID,        3-seat sofa-bed,98
60431563,Beds,83,225,,,,,1845,,,,FRIHETEN,        3-seat sofa-bed,105
29285521,Beds,83,160,,,,,2945,,,,VIMLE,        2-seat sofa-bed section,98
89278481,Beds,104,277,,,,,4790,,,,GRÖNLID,        3-seat sofa-bed,164
19290603,Beds,95,160,,,,,4841,,,,LIDHULT,        2-seat sofa-bed section,97
59277652,Beds,84,186,,,,,2932,,,,VALLENTUNA,        2-seat modular sofa with sofa-bed,113
69278415,Beds,104,267,,,,,4390,,,,GRÖNLID,        3-seat sofa-bed,98
19285588,Beds,83,190,,,,,3355,,,,VIMLE,        2-seat sofa-bed,98
29297454,Beds,79,200,,,,,1676,,,,FLOTTEBO,"        Sofa-bed with side table,          90 cm",90
99280884,Beds,87,142,,,,,1345,,,,LYCKSELE LÖVÅS,        2-seat sofa-bed,100
9278569,Beds,104,235,,,,,6110,,,,GRÖNLID,"        Corner sofa-bed, 4-seat",98
